T,1.45,1.3,1.15,1,0.85,0.6,0.45,0.3,0.15,0,,1.45,1.3,1.15,0.15,0
0.025,-0.001418 ,-0.049514,-0.827989,-1.09776,-1.249953,-1.171289,-0.956847,-0.666552,-0.339956,,,889,,,917,935
0.05,-0.027315,-0.208513,-1.073296,-1.264299,-1.319897,-1.161554,-0.936139,-0.654178,-0.33393,-0.004269,,,,,,
0.075,-0.065213 ,-0.320559,-1.102854,-1.242208,-1.249659,-1.045476,-0.83794,-0.577271,-0.298222,0.011455,,,,,918,936
0.1,-0.091436,-0.398437,-1.071698,-1.161864,-1.144456,-0.930633,-0.726709,-0.506389,-0.248088,0.003696,,,,,919,
0.125,-0.113745,-0.447933,-1.01304,-1.079426,-1.026558,-0.825562,-0.647931,-0.442941,-0.224954,0.003496,,,908,,920,
0.15,-0.13034,-0.48154,-0.955409,-0.962844,-0.93536,-0.734404,-0.575262,-0.383743,-0.185666,-0.002054,,,,,921,
0.175,-0.149034,-0.510579,-0.866776,-0.892005,-0.844363,-0.661428,-0.512059,-0.350749,-0.175747,0.013459,,,,,922,
0.2,-0.1554,-0.529638,-0.802581,-0.813198,-0.767609,-0.596549,-0.461659,-0.304921,-0.160595,0.00843,,,,,923,
0.225,-0.166886,-0.532233,-0.74446,-0.743337,-0.6874,-0.53888,-0.413983,-0.283002,-0.139944,0.011317,,,906,,924,
0.25,-0.192012,-0.523725,-0.680952,-0.686463,-0.634629,-0.497868,-0.37934,-0.260961,-0.129394,0.013805,,,,,925,
0.275,-0.191231,-0.508695,-0.632613,-0.627417,-0.578653,-0.448931,-0.347032,-0.234204,-0.109857,0.015859,,,905,909,926,
0.3,-0.216405,-0.495835,-0.576117,-0.568808,-0.535115,-0.404102,-0.312025,-0.209972,-0.101524,0.012623,,,,,,945
0.325,-0.223681,-0.450786,-0.513624,-0.515515,-0.484021,-0.373111,-0.28647,-0.193641,-0.089764,0.010677,,,,,,946
0.35,-0.229675,-0.417266,-0.473674,-0.485918,-0.436217,-0.341434,-0.265375,-0.182367,-0.082368,0.01252,,,,,,
0.375, -0.232892,-0.378285,-0.426069,-0.428017,-0.404919,-0.310581,-0.238017,-0.160838,-0.077285,0.02119,,,,913,,
0.4,-0.222256,-0.336577,-0.378543,-0.39002,-0.364683,-0.279508,-0.211226,-0.142163,-0.074676,0.009805,,,,,,
0.425,-0.215578,-0.295096,-0.339694,-0.345932,-0.322389,-0.254215,-0.19605,-0.137243,-0.067865,0.010122,,,,914,,
0.45,-0.200866,-0.26326,-0.293541,-0.297554,-0.282774,-0.233843,-0.185157,-0.124198,-0.053748,0.005535,,,,,,
0.475,-0.183342,-0.226439,-0.251352,-0.263125,-0.251208,-0.203923,-0.155983,-0.106679,-0.051993,0.009002,,900,901,916,934,
0.5,-0.14635,-0.188524,-0.21809,-0.224855,-0.231686,-0.180442,-0.142451,-0.09888,-0.055594,0.005828,,,,,,
0.525,,,,-0.195882,-0.195522,-0.156281,-0.125384,-0.087837,,,,,,,,
0.55,,,,-0.161107,-0.163355,-0.129251,-0.107216,-0.077194,,,,,,,,
0.575,,,,-0.146076,-0.13072,-0.112744,-0.092501,-0.066169,,,,,,,,
0.6,,,,-0.11015,-0.121079,-0.10275,-0.080981,-0.05013,,,,,,,,
0.625,,,,-0.097115,-0.094309,-0.081737,-0.064603,-0.035768,,,,,,,,
0.65,,,,-0.090956,-0.077335,-0.073557,-0.053038,-0.028477,,,,,,,,
0.675,,,,-0.075175,-0.076017,-0.063527,-0.049135,-0.030393,,,,,,,,
0.7,,,,-0.062522,-0.06914,-0.057785,-0.040582,-0.03247,,,,,,,,
0.725,,,,-0.058824,-0.056517,-0.057455,-0.040934,-0.021042,,,,,,,,
0.75,,,,-0.050422,-0.053108,-0.05098,-0.039779,-0.033461,,,,,,,,
0.775,,,,-0.053593,-0.052524,-0.050761,-0.030731,-0.024553,,,,,,,,
0.8,,,,-0.05937,-0.056241,-0.041137,-0.027233,-0.024623,,,,,,,,
0.825,,,,-0.060966,-0.058663,-0.028307,-0.037691,-0.01958,,,,,,,,
0.85,,,,-0.058803,-0.056196,-0.03963,-0.03676,-0.017655,,,,,,,,
0.875,,,,-0.058565,-0.056477,-0.040745,-0.023048,-0.02209,,,,,,,,
0.9,,,,-0.066805,-0.056576,-0.040076,-0.032147,-0.020922,,,,,,,,
0.925,,,,-0.068911,-0.059887,-0.03838,-0.030926,-0.023394,,,,,,,,
0.95,,,,-0.066485,-0.059876,-0.041462,-0.034993,-0.024056,,,,,,,,
0.975,,,,-0.065162,-0.06389,-0.050147,-0.035377,-0.023556,,,,,,,,
1,,,,-0.064029,-0.058064,-0.042142,-0.033778,-0.023327,,,,,,,,
1.5,,,,-0.052785,-0.032891,-0.026648,-0.022514,-0.013573,,,,,,,,
2,,,,-0.022777,-0.022592,-0.012311,-0.012181,-0.010035,,,,,,,,
2.5,,,,-0.01776,-0.0041,-0.006715,-0.016843,-0.004772,,,,,,,,
