-0.250000,-0.317717,0.002820
-0.240000,-0.310502,0.003565
-0.230000,-0.303665,0.002765
-0.220000,-0.296168,0.003110
-0.210000,-0.289925,0.003020
-0.200000,-0.280827,0.002845
-0.190000,-0.273366,0.003640
-0.180000,-0.264814,0.003275
-0.170000,-0.254723,0.003510
-0.160000,-0.244870,0.003875
-0.150000,-0.236165,0.004010
-0.140000,-0.225397,0.004335
-0.130000,-0.212411,0.003340
-0.120000,-0.200094,0.003070
-0.110000,-0.188902,0.003560
-0.100000,-0.173604,0.003780
-0.090000,-0.158666,0.003525
-0.080000,-0.144721,0.003080
-0.070000,-0.130294,0.003470
-0.060000,-0.111663,0.002285
-0.050000,-0.094245,0.002650
-0.040000,-0.075920,0.001025
-0.030000,-0.056734,0.000635
-0.020000,-0.040533,0.000940
-0.010000,-0.019367,-0.000105
0.000000,-0.003404,-0.000005
0.010000,0.020388,-0.000760
0.020000,0.036448,-0.000310
0.030000,0.059089,-0.001905
0.040000,0.075099,-0.002015
0.050000,0.093973,-0.002060
0.060000,0.113695,-0.002275
0.070000,0.130699,-0.003330
0.080000,0.143688,-0.002770
0.090000,0.159828,-0.003110
0.100000,0.175498,-0.003455
0.110000,0.187906,-0.003385
0.120000,0.200654,-0.003130
0.130000,0.212174,-0.003880
0.140000,0.223102,-0.003360
0.150000,0.235561,-0.003685
0.160000,0.245285,-0.003870
0.170000,0.255677,-0.003585
0.180000,0.265546,-0.003650
0.190000,0.273793,-0.003720
0.200000,0.281407,-0.002685
0.210000,0.289608,-0.003895
0.220000,0.298156,-0.002960
0.230000,0.304451,-0.002675
0.240000,0.310063,-0.002420
0.250000,0.316887,-0.002700
0.240000,0.309946,-0.002710
0.230000,0.303939,-0.003925
0.220000,0.297357,-0.003440
0.210000,0.289554,-0.003070
0.200000,0.282455,-0.002460
0.190000,0.274733,-0.003105
0.180000,0.265119,-0.003605
0.170000,0.256395,-0.003995
0.160000,0.245539,-0.002900
0.150000,0.236404,-0.003780
0.140000,0.224092,-0.003755
0.130000,0.213331,-0.002825
0.120000,0.203095,-0.003170
0.110000,0.188612,-0.003215
0.100000,0.172472,-0.003260
0.090000,0.161606,-0.003570
0.080000,0.145210,-0.003215
0.070000,0.127118,-0.002560
0.060000,0.111499,-0.003240
0.050000,0.092537,-0.001150
0.040000,0.076032,-0.001190
0.030000,0.057210,-0.001285
0.020000,0.040152,-0.000585
0.010000,0.021106,-0.000800
0.000000,-0.002981,-0.000865
-0.010000,-0.020946,0.000470
-0.020000,-0.037577,0.000665
-0.030000,-0.057013,0.001650
-0.040000,-0.073863,0.002255
-0.050000,-0.095975,0.002525
-0.060000,-0.110392,0.002115
-0.070000,-0.126319,0.002275
-0.080000,-0.143386,0.002050
-0.090000,-0.158236,0.003840
-0.100000,-0.173202,0.002705
-0.110000,-0.187198,0.003450
-0.120000,-0.199057,0.003940
-0.130000,-0.213943,0.002520
-0.140000,-0.223626,0.003235
-0.150000,-0.235175,0.003845
-0.160000,-0.247121,0.002900
-0.170000,-0.256664,0.003410
-0.180000,-0.266142,0.002890
-0.190000,-0.273668,0.003365
-0.200000,-0.281566,0.002770
-0.210000,-0.289855,0.003325
-0.220000,-0.296725,0.003770
-0.230000,-0.303383,0.002930
-0.240000,-0.310752,0.003615
